sno,sna,sarea,ar,latitude,longitude,Quantity,available_rent_bikes,available_return_bikes,act,mday
500101097,YouBike2.0_臥龍樂業街口,大安區,臥龍街234-2號,25.01856,121.55558,64,14,49,1,2026-09-25 21:42:02
500101098,YouBike2.0_臥龍公園,大安區,辛亥路三段223號西側,25.01623,121.55037,25,5,20,1,2026-09-25 21:42:02
500101099,YouBike2.0_嘉興公園,大安區,樂業街101巷3號西北側,25.021,121.55211,44,23,21,1,2026-09-25 21:42:02
500101100,YouBike2.0_捷運麟光站(2號出口),大安區,和平東路三段420號東北側,25.0181,121.55929,69,9,60,1,2026-09-25 21:42:02
500101101,YouBike2.0_捷運六張犁站,大安區,和平東路三段410號,25.02397,121.55266,64,7,56,1,2026-09-25 21:42:02
500101102,YouBike2.0_喬治工商,大安區,基隆路二段166號,25.02705,121.55551,22,13,8,1,2026-09-25 21:42:02
500101103,YouBike2.0_法治公園,大安區,通化街189號西側,25.02694,121.55325,41,7,34,1,2026-09-25 21:42:02
500101104,YouBike2.0_捷運臺電大樓站(2號出口),大安區,辛亥路一段/羅斯福路三段口北側(辛亥路側),25.02021,121.52942,18,12,6,1,2026-09-25 21:42:02
500101105,YouBike2.0_和平金山路口,大安區,和平東路一段/金山南路二段西南側,25.02669,121.52529,58,4,53,1,2026-09-25 21:42:02
500101107,YouBike2.0_和平龍泉街口,大安區,和平東路一段/龍泉街口西南側,25.02638,121.52971,34,20,13,1,2026-09-25 21:42:02
500101108,YouBike2.0_和平泰順街口,大安區,和平東路一段/泰順街口東南側,25.02621,121.53171,19,14,4,1,2026-09-25 21:42:02
500101109,YouBike2.0_臺灣師範大學(圖書館),大安區,和平東路一段129號前,25.0266,121.52973,40,21,17,1,2026-09-25 21:42:02
500101110,YouBike2.0_捷運古亭站(6號出口),大安區,羅斯福路二段41號前,25.0276,121.52217,60,6,53,1,2026-09-25 21:42:02
500101111,YouBike2.0_捷運古亭站(5號出口),大安區,和平東路一段19號前,25.02715,121.52293,14,0,0,0,2026-09-25 21:42:02
500101113,YouBike2.0_臺北市立圖書館(總館),大安區,建國南路二段/建國南路二段151巷(橋下空間),25.02895,121.5379,99,31,68,1,2026-09-25 21:42:02
500101114,YouBike2.0_新生和平路口東北側,大安區,新生南路二段與和平東路二段口東北側,25.02657,121.53515,51,6,44,1,2026-09-25 21:42:02
500101115,YouBike2.0_建國和平路口西北側,大安區,建國南路二段與和平東路二段口西北側,25.02606,121.53738,50,21,29,1,2026-09-25 21:42:02
500101116,YouBike2.0_金華公園,大安區,金華街249號對面,25.02984,121.53107,44,3,38,1,2026-09-25 21:42:02
500101117,YouBike2.0_捷運東門站(3號出口),大安區,信義路二段128號前,25.03383,121.52815,18,0,0,0,2026-09-25 21:42:02
500101118,YouBike2.0_金甌女中,大安區,信義路二段與杭州南路二段東南側,25.03519,121.5245,15,2,13,1,2026-09-25 21:42:02
500101119,YouBike2.0_金杭公園,大安區,愛國東路21巷與杭州南路二段25巷口東南側,25.03325,121.52436,20,7,13,1,2026-09-25 21:42:02
500101120,YouBike2.0_愛國金山路口,大安區,愛國東路與杭州南路二段口西南側,25.03164,121.52661,57,1,54,1,2026-09-25 21:42:02
500101122,YouBike2.0_敦化南路二段293巷口南側,大安區,敦化南路二段293巷口南側,25.0237,121.54899,14,7,6,1,2026-09-25 21:42:02
500101123,YouBike2.0_敦化基隆路口,大安區,敦化南路二段218號,25.02215,121.54839,38,14,24,1,2026-09-25 21:42:02
500101124,YouBike2.0_安和路二段181巷口,大安區,安和路二段185號,25.02721,121.54988,29,6,23,1,2026-09-25 21:42:02
500101125,YouBike2.0_臨江街夜市(通化街101巷口),大安區,通化街111號,25.02952,121.55406,30,5,18,1,2026-09-25 21:42:02
500101126,YouBike2.0_臨江街夜市(基隆路),大安區,基隆路二段108號,25.02931,121.55721,29,7,21,1,2026-09-25 21:42:02
500101127,YouBike2.0_台北科技大學億光大樓,大安區,忠孝東路三段81號,25.04177,121.53833,59,4,53,1,2026-09-25 21:42:02
500101128,YouBike2.0_新生南路一段119巷口,大安區,新生南路一段113號,25.04003,121.53299,64,2,62,1,2026-09-25 21:42:02
500101129,YouBike2.0_幸安國小(仁愛路),大安區,仁愛路三段22號,25.03753,121.53523,28,8,17,1,2026-09-25 21:42:02
500101130,YouBike2.0_民榮公園,大安區,建國南路一段304巷45號南側,25.03534,121.5354,31,22,9,1,2026-09-25 21:42:02
500101131,YouBike2.0_復興南路1段340巷口,大安區,復興南路一段信義路三段147巷45弄口,25.03701,121.54348,50,3,46,1,2026-09-25 21:42:02
500101132,YouBike2.0_建國濟南路口,大安區,建國南路一段/濟南路三段口(東南側),25.03935,121.53828,54,1,52,1,2026-09-25 21:42:02
500101133,YouBike2.0_捷運忠孝復興站(2號出口),大安區,復興南路一段/仁愛路三段123巷13弄(西北側),25.04035,121.5436,29,2,27,1,2026-09-25 21:42:02
500101134,YouBike2.0_捷運大安站(4號出口),大安區,信義路4段6號(前),25.0332,121.5439,16,1,14,1,2026-09-25 21:42:02
500101135,YouBike2.0_捷運大安站(2號出口),大安區,信義路3段143號(前),25.03358,121.54141,60,4,56,1,2026-09-25 21:42:02
500101136,YouBike2.0_信義大安路口(信維大樓),大安區,信義路四段74號(前),25.03317,121.54639,18,6,12,1,2026-09-25 21:42:02
500101137,YouBike2.0_龍門廣場,大安區,敦化南路一段與敦化南路一段236巷口,25.04092,121.54825,70,26,42,1,2026-09-25 21:42:02
500101138,YouBike2.0_仁愛安和路口,大安區,仁愛路四段258號前,25.03754,121.55285,33,6,27,1,2026-09-25 21:42:02
500101139,YouBike2.0_信義敦化路口,大安區,信義路四段155號前,25.03333,121.54977,52,9,43,1,2026-09-25 21:42:02
